LINHA;CODIGO;DESCRICAO;ULTIMA_VENDA;ESTOQUE;CUSTO
MOTOROLA;LEN-MOT-G4-PLUS;LENTE;15-Jun-20;1;8,5
MOTOROLA;LEN-MOT-G5-PLUS;LENTE;16-Jun-20;3;8,5
MOTOROLA;LEN-MOT-G5-S;LENTE;01-May-20;3;8,5
MOTOROLA;LEN-MOT-G6;LENTE;03-Oct-19;1;8,5
MOTOROLA;LEN-MOT-Z-PLAY;LENTE;15-May-18;2;8,5
MOTOROLA;LEN-MOT-Z2-PLAY;LENTE;10-Jan-20;1;8,5
MOTOROLA;LEN-MOT-Z3-PLAY;LENTE;30-Apr-20;2;17
SAMSUNG;LEN-SAM-G530;LENTE;18-Jun-20;1;8,5
SAMSUNG;LEN-SAM-G6;LENTE;16-May-20;1;8,5
SAMSUNG;LEN-SAM-G6-PLAY;LENTE;01-Nov-19;6;6,43
SAMSUNG;MIC-SAM-J4;MICROFONE;06-Apr-19;6;5
SAMSUNG;MIC-SAM-J6;MICROFONE;08-Sep-18;3;8,5
MOTOROLA;SLO-MOT-G2;SLOT;14-Oct-18;7;17
IPHONE;TAM-IPH-4S;TAMPA;05-Jun-20;8;15
LG;TAM-LG-G5;TAMPA;04-May-20;1;25
LG;TAM-LG-G6;TAMPA;09-Jun-20;6;25,5
LG;TAM-LG-G6-PLUS;TAMPA;02-Feb-20;1;28
MOTOROLA;TAM-MOT-G5;TAMPA;10-Oct-19;1;34
MOTOROLA;TAM-MOT-G6;TAMPA;01-Jul-19;5;20
MOTOROLA;TAM-MOT-G6-PLAY;TAMPA;05-May-20;0;15
MOTOROLA;TAM-MOT-G6-PLUS;TAMPA;01-May-20;2;21,33
MOTOROLA;TAM-MOT-G7-PLUS;TAMPA;03-Oct-19;1;20
MOTOROLA;TAM-MOT-G7-POWER;TAMPA;15-May-18;3;15
MOTOROLA;TAM-MOT-ONE;TAMPA;10-Jan-20;7;17,5
MOTOROLA;TAM-MOT-X4;TAMPA;30-Apr-20;4;34
MOTOROLA;TAM-MOT-Z-PLAY;TAMPA;18-Jun-20;6;20
SAMSUNG;TAM-SAM-A510;TAMPA;16-May-20;1;15
SAMSUNG;TAM-SAM-A7;TAMPA;01-Nov-19;9;15
SAMSUNG;TAM-SAM-G530;TAMPA;06-Apr-19;2;12,75
SAMSUNG;TAM-SAM-G532;TAMPA;08-Sep-18;1;12,75
SAMSUNG;TAM-SAM-G6-PLUS;TAMPA;14-Oct-18;4;15
SAMSUNG;TAM-SAM-J2-PRIME;TAMPA;05-Jun-20;2;12,75
SAMSUNG;TAM-SAM-J5;TAMPA;04-May-20;7;12,75
SAMSUNG;TAM-SAM-J7;TAMPA;09-Jun-20;4;12,75
SAMSUNG;TAM-SAM-S6;TAMPA;02-Feb-20;2;10
SAMSUNG;TAM-SAM-S7-EDGE;TAMPA;10-Oct-19;2;34
SAMSUNG;TAM-SAM-S8;TAMPA;01-Jul-19;4;20
SAMSUNG;TAM-SAM-S9;TAMPA;05-May-20;1;34
XIAOMI;TAM-XIA-ONE;TAMPA;05-Nov-19;3;20
ASUS;TEL-ASU-ZB500KG-ORIG;TELA;26-Sep-19;0;60
ASUS;TEL-ASU-ZB500KL-ORIG;TELA;02-Apr-20;7;57,27
ASUS;TEL-ASU-ZB500TG-ORIG;TELA;05-Mar-20;0;68
ASUS;TEL-ASU-ZB501KL-ORIG;TELA;01-Feb-20;9;59,84
ASUS;TEL-ASU-ZB502KL-ORIG;TELA;08-Apr-20;0;76,5
ASUS;TEL-ASU-ZB551KL-ORIG;TELA;10-Jun-20;3;58,27
ASUS;TEL-ASU-ZB552KL-ORIG;TELA;15-Jun-20;0;85
ASUS;TEL-ASU-ZB553KL-ORIG;TELA;16-Jun-20;0;68
ASUS;TEL-ASU-ZB570TL-ORIG;TELA;01-May-20;2;63,08
ASUS;TEL-ASU-ZB601KL-ORIG;TELA;03-Oct-19;7;77,5
ASUS;TEL-ASU-ZB602KL-ORIG;TELA;15-May-18;1;76,5
ASUS;TEL-ASU-ZB634KL-ORIG;TELA;10-Jan-20;4;143
ASUS;TEL-ASU-ZC500TG-ORIG;TELA;30-Apr-20;1;64,67
ASUS;TEL-ASU-ZC520KL-ORIG;TELA;18-Jun-20;9;70
ASUS;TEL-ASU-ZC520TL-ORIG;TELA;16-May-20;8;59,85
ASUS;TEL-ASU-ZC553KL-ORIG;TELA;01-Nov-19;7;60,95
ASUS;TEL-ASU-ZC554KL-ORIG;TELA;06-Apr-19;7;68,38
ASUS;TEL-ASU-ZC600KL-ORIG;TELA;08-Sep-18;4;75,59
ASUS;TEL-ASU-ZC620KL-ORIG;TELA;14-Oct-18;2;68
ASUS;TEL-ASU-ZD551KL-ORIG;TELA;05-Jun-20;2;65
ASUS;TEL-ASU-ZD552KL-ORIG;TELA;04-May-20;5;129,29
ASUS;TEL-ASU-ZD553KL-ORIG;TELA;09-Jun-20;6;59,13
ASUS;TEL-ASU-ZD601KL/602KL-ORIG;TELA;02-Feb-20;5;85
ASUS;TEL-ASU-ZE520KL-ORIG;TELA;10-Oct-19;3;60,12
ASUS;TEL-ASU-ZE550KL-ORIG;TELA;01-Jul-19;2;50
ASUS;TEL-ASU-ZE551KL-ORIG;TELA;05-May-20;0;68
ASUS;TEL-ASU-ZE551ML-ORIG;TELA;01-May-20;3;58,29
ASUS;TEL-ASU-ZE552KL-ORIG;TELA;03-Oct-19;73;67,78
ASUS;TEL-ASU-ZE553KL-ORIG;TELA;15-May-18;0;153,32
ASUS;TEL-ASU-ZE554KL-ORIG;TELA;10-Jan-20;9;75,22
ASUS;TEL-ASU-ZE601KL-ORIG;TELA;30-Apr-20;4;94
ASUS;TEL-ASU-ZE620KL-ORIG;TELA;18-Jun-20;2;89,29
ASUS;TEL-ASU-ZENFON-5-A501-ORIG;TELA;16-May-20;3;60
ASUS;TEL-ASU-ZENFON-6-ORIG;TELA;01-Nov-19;1;78
ASUS;TEL-ASU-ZS620KL-ORIG;TELA;06-Apr-19;6;90
ASUS;TEL-ASU-ZS630KL-ORIG;TELA;08-Sep-18;5;78,89
IPHONE;TEL-IPH-4G-REPL;TELA;14-Oct-18;9;30
IPHONE;TEL-IPH-4S-REPL;TELA;05-Jun-20;4;34,17
IPHONE;TEL-IPH-5C-REPL;TELA;04-May-20;8;31,33
IPHONE;TEL-IPH-5G-REPL;TELA;09-Jun-20;8;30,61
IPHONE;TEL-IPH-5S-REPL;TELA;02-Feb-20;53;32,23
IPHONE;TEL-IPH-5SE-REPL;TELA;10-Oct-19;0;29,35
IPHONE;TEL-IPH-6-PLUS-REPL;TELA;01-Jul-19;15;54,58
IPHONE;TEL-IPH-6G-REPL;TELA;05-May-20;41;37,33
IPHONE;TEL-IPH-6S-REPL;TELA;05-Nov-19;35;46,91
IPHONE;TEL-IPH-6S-PLUS-ORIG;TELA;26-Sep-19;0;50
IPHONE;TEL-IPH-6S-PLUS-REPL;TELA;02-Apr-20;13;66,59
IPHONE;TEL-IPH-7-PLUS-ORIG;TELA;05-Mar-20;0;297,5
IPHONE;TEL-IPH-7-PLUS-REPL;TELA;01-Feb-20;23;68,22
IPHONE;TEL-IPH-7G-ORIG;TELA;08-Apr-20;1;212,5
IPHONE;TEL-IPH-7G-REPL;TELA;10-Jun-20;14;48,67
IPHONE;TEL-IPH-8-PLUS-ORIG;TELA;15-Jun-20;0;425
IPHONE;TEL-IPH-8-PLUS-REPL;TELA;16-Jun-20;13;68,48
IPHONE;TEL-IPH-8G-ORIG;TELA;01-May-20;0;340
IPHONE;TEL-IPH-8G-REPL;TELA;03-Oct-19;55;52,1
IPHONE;TEL-IPH-SE-ORIG;TELA;15-May-18;0;53
IPHONE;TEL-IPH-SE-REPL;TELA;10-Jan-20;9;27
IPHONE;TEL-IPH-X-ORIG;TELA;30-Apr-20;0;680
IPHONE;TEL-IPH-X-REPL;TELA;18-Jun-20;8;255,93
IPHONE;TEL-IPH-XR-ORIG;TELA;16-May-20;0;425
IPHONE;TEL-IPH-XR-REPL;TELA;01-Nov-19;3;296,25
IPHONE;TEL-IPH-XS-ORIG;TELA;06-Apr-19;0;765
IPHONE;TEL-IPH-XS-REPL;TELA;08-Sep-18;1;327,14
IPHONE;TEL-IPH-XS-MAX-ORIG;TELA;14-Oct-18;0;1105
IPHONE;TEL-IPH-XS-MAX-REPL;TELA;05-Jun-20;3;742,86
LENOVO;TEL-LEN-A7010-ORIG;TELA;04-May-20;4;68
LENOVO;TEL-LEN-K10-C2-ORIG;TELA;09-Jun-20;1;68
LENOVO;TEL-LEN-K5-ORIG;TELA;02-Feb-20;5;59,5
LENOVO;TEL-LEN-K6-ORIG;TELA;10-Oct-19;6;60
LENOVO;TEL-LEN-K6-PLUS-ORIG;TELA;01-Jul-19;7;68
LG;TEL-LG-736-ORIG;TELA;05-May-20;0;136
LG;TEL-LG-D295-ORIG;TELA;01-May-20;0;127,5
LG;TEL-LG-D392-ORIG;TELA;03-Oct-19;0;114
LG;TEL-LG-D690-ORIG;TELA;15-May-18;0;110,5
LG;TEL-LG-D736-ORIG;TELA;10-Jan-20;0;107
LG;TEL-LG-D805-ORIG;TELA;30-Apr-20;0;103,5
LG;TEL-LG-E977-ORIG;TELA;18-Jun-20;0;110,5
LG;TEL-LG-G3-ORIG;TELA;16-May-20;5;110,5
LG;TEL-LG-G5-ORIG;TELA;01-Nov-19;6;140
LG;TEL-LG-G6-ORIG;TELA;06-Apr-19;1;153
LG;TEL-LG-H222-ORIG;TELA;08-Sep-18;0;166
LG;TEL-LG-H326-ORIG;TELA;14-Oct-18;5;110,5
LG;TEL-LG-H422-ORIG;TELA;05-Jun-20;5;76,5
LG;TEL-LG-H522-ORIG;TELA;04-May-20;12;80
LG;TEL-LG-H540-ORIG;TELA;09-Jun-20;0;83,5
LG;TEL-LG-H815-ORIG;TELA;02-Feb-20;0;110,5
LG;TEL-LG-K10-2017-ORIG;TELA;10-Oct-19;2;63,26
LG;TEL-LG-K10-POWER-ORIG;TELA;01-Jul-19;6;74,68
LG;TEL-LG-K10-PRO-ORIG;TELA;05-May-20;5;102,78
LG;TEL-LG-K10-STV-ORIG;TELA;05-Nov-19;8;70
LG;TEL-LG-K10-TV-ORIG;TELA;26-Sep-19;15;61,55
LG;TEL-LG-K11-ORIG;TELA;02-Apr-20;0;85
LG;TEL-LG-K11-PLUS-ORIG;TELA;05-Mar-20;3;70
LG;TEL-LG-K12-ORIG;TELA;01-Feb-20;1;95
LG;TEL-LG-K200-ORIG;TELA;08-Apr-20;3;60,71
LG;TEL-LG-K220-ORIG;TELA;10-Jun-20;3;60
LG;TEL-LG-K4-ORIG;TELA;15-Jun-20;5;63,75
LG;TEL-LG-K4-2017-ORIG;TELA;16-Jun-20;5;61,18
LG;TEL-LG-K5-ORIG;TELA;01-May-20;3;85
LG;TEL-LG-K500-ORIG;TELA;03-Oct-19;0;170
LG;TEL-LG-K520-ORIG;TELA;15-May-18;0;238
LG;TEL-LG-K580-ORIG;TELA;10-Jan-20;0;144,5
LG;TEL-LG-K8-ORIG;TELA;30-Apr-20;2;71
LG;TEL-LG-K8-2017-ORIG;TELA;18-Jun-20;6;68
LG;TEL-LG-K9-ORIG;TELA;16-May-20;4;72,22
LG;TEL-LG-M400-ORIG;TELA;01-Nov-19;0;144,5
LG;TEL-LG-Q6-ORIG;TELA;06-Apr-19;4;140
LG;TEL-LG-Q6-PLUS-ORIG;TELA;08-Sep-18;1;144,5
LG;TEL-LG-Q7-ORIG;TELA;14-Oct-18;4;170
MOTOROLA;TEL-MOT-C-ORIG;TELA;05-Jun-20;10;47,5
MOTOROLA;TEL-MOT-C-PLUS-ORIG;TELA;04-May-20;5;50,31
MOTOROLA;TEL-MOT-E1-ORIG;TELA;09-Jun-20;3;45,6
MOTOROLA;TEL-MOT-E2-ORIG;TELA;02-Feb-20;9;45
MOTOROLA;TEL-MOT-E4-ORIG;TELA;10-Oct-19;19;46,74
MOTOROLA;TEL-MOT-E4-PLUS-ORIG;TELA;01-Jul-19;7;49,32
MOTOROLA;TEL-MOT-E5-ORIG;TELA;05-May-20;5;60
MOTOROLA;TEL-MOT-E5-REPL;TELA;01-May-20;1;55,25
MOTOROLA;TEL-MOT-E5-PLAY-ORIG;TELA;03-Oct-19;5;60,19
MOTOROLA;TEL-MOT-E5-PLUS-ORIG;TELA;15-May-18;13;69,68
MOTOROLA;TEL-MOT-E7-ORIG;TELA;10-Jan-20;1;85
MOTOROLA;TEL-MOT-G1-ORIG;TELA;30-Apr-20;9;49,56
MOTOROLA;TEL-MOT-G2-ORIG;TELA;18-Jun-20;7;40,73
MOTOROLA;TEL-MOT-G3-ORIG;TELA;16-May-20;6;37,96
MOTOROLA;TEL-MOT-G4-ORIG;TELA;01-Nov-19;7;67
MOTOROLA;TEL-MOT-G4-PLAY-ORIG;TELA;06-Apr-19;14;46,23
MOTOROLA;TEL-MOT-G4-PLUS-ORIG;TELA;08-Sep-18;11;69,12
MOTOROLA;TEL-MOT-G5-ORIG;TELA;14-Oct-18;16;54,36
MOTOROLA;TEL-MOT-G5-PLUS-ORIG;TELA;05-Jun-20;26;48,67
MOTOROLA;TEL-MOT-G5-S-ORIG;TELA;04-May-20;25;47,6
MOTOROLA;TEL-MOT-G5-S-PLUS-ORIG;TELA;09-Jun-20;23;55,57
MOTOROLA;TEL-MOT-G6-ORIG;TELA;02-Feb-20;17;56,36
MOTOROLA;TEL-MOT-G6-PLAY-ORIG;TELA;10-Oct-19;43;54,98
MOTOROLA;TEL-MOT-G6-PLUS-ORIG;TELA;01-Jul-19;9;55,18
MOTOROLA;TEL-MOT-G7-ORIG;TELA;05-May-20;7;72,38
MOTOROLA;TEL-MOT-G7-PLAY-ORIG;TELA;05-Nov-19;13;69,12
MOTOROLA;TEL-MOT-G7-PLUS-ORIG;TELA;26-Sep-19;3;75
MOTOROLA;TEL-MOT-G7-POWER-ORIG;TELA;02-Apr-20;7;70,61
MOTOROLA;TEL-MOT-G8-PLAY-ORIG;TELA;05-Mar-20;2;140
MOTOROLA;TEL-MOT-ONE-ORIG;TELA;01-Feb-20;15;63,41
MOTOROLA;TEL-MOT-ONE-VISION-ORIG;TELA;08-Apr-20;4;203,08
MOTOROLA;TEL-MOT-X-FORCE-ORIG;TELA;10-Jun-20;4;127,5
MOTOROLA;TEL-MOT-X-PLAY-ORIG;TELA;15-Jun-20;12;81,67
MOTOROLA;TEL-MOT-X-STYLE-ORIG;TELA;16-Jun-20;5;127,5
MOTOROLA;TEL-MOT-X1-ORIG;TELA;01-May-20;0;110,5
MOTOROLA;TEL-MOT-X2-ORIG;TELA;03-Oct-19;14;75,69
MOTOROLA;TEL-MOT-X4-ORIG;TELA;15-May-18;13;66,74
MOTOROLA;TEL-MOT-Z-PLAY-ORIG;TELA;10-Jan-20;12;125
MOTOROLA;TEL-MOT-Z-POWER-ORIG;TELA;30-Apr-20;0;230
MOTOROLA;TEL-MOT-Z2-FORCE-ORIG;TELA;18-Jun-20;0;145
MOTOROLA;TEL-MOT-Z2-PLAY-ORIG;TELA;16-May-20;19;123,18
MOTOROLA;TEL-MOT-Z3-PLAY-ORIG;TELA;01-Nov-19;1;158,18
SAMSUNG;TEL-SAM-A10-ORIG;TELA;06-Apr-19;17;178,5
SAMSUNG;TEL-SAM-A10-REPL;TELA;08-Sep-18;24;72,87
SAMSUNG;TEL-SAM-A20-ORIG;TELA;14-Oct-18;2;358
SAMSUNG;TEL-SAM-A20-REPL;TELA;05-Jun-20;7;134,64
SAMSUNG;TEL-SAM-A3-ORIG;TELA;04-May-20;0;153
SAMSUNG;TEL-SAM-A3-REPL;TELA;09-Jun-20;0;50
SAMSUNG;TEL-SAM-A30-ORIG;TELA;02-Feb-20;1;330,63
SAMSUNG;TEL-SAM-A30-REPL;TELA;10-Oct-19;6;173,33
SAMSUNG;TEL-SAM-A310-ORIG;TELA;01-Jul-19;0;246,5
SAMSUNG;TEL-SAM-A310-REPL;TELA;05-May-20;0;55
SAMSUNG;TEL-SAM-A320-ORIG;TELA;01-May-20;0;255
SAMSUNG;TEL-SAM-A320-REPL;TELA;03-Oct-19;0;136
SAMSUNG;TEL-SAM-A40-ORIG;TELA;15-May-18;0;323
SAMSUNG;TEL-SAM-A40-REPL;TELA;10-Jan-20;0;185
SAMSUNG;TEL-SAM-A5-ORIG;TELA;30-Apr-20;7;134,44
SAMSUNG;TEL-SAM-A5-REPL;TELA;18-Jun-20;8;51,25
SAMSUNG;TEL-SAM-A50-ORIG;TELA;16-May-20;4;328,24
SAMSUNG;TEL-SAM-A50-REPL;TELA;01-Nov-19;0;175
SAMSUNG;TEL-SAM-A510-ORIG;TELA;06-Apr-19;4;185,29
SAMSUNG;TEL-SAM-A510-REPL;TELA;08-Sep-18;0;90,91
SAMSUNG;TEL-SAM-A520-ORIG;TELA;14-Oct-18;3;193,53
SAMSUNG;TEL-SAM-A520-REPL;TELA;05-Jun-20;3;102,31
SAMSUNG;TEL-SAM-A6-ORIG;TELA;04-May-20;0;255
SAMSUNG;TEL-SAM-A6-REPL;TELA;09-Jun-20;0;153
SAMSUNG;TEL-SAM-A6-PLUS-ORIG;TELA;02-Feb-20;1;289,38
SAMSUNG;TEL-SAM-A6-PLUS-REPL;TELA;10-Oct-19;1;170
SAMSUNG;TEL-SAM-A7-ORIG;TELA;01-Jul-19;0;212,5
SAMSUNG;TEL-SAM-A7-REPL;TELA;05-May-20;0;255
SAMSUNG;TEL-SAM-A70-ORIG;TELA;05-Nov-19;1;530
SAMSUNG;TEL-SAM-A70-REPL;TELA;26-Sep-19;0;193,12
SAMSUNG;TEL-SAM-A710-ORIG;TELA;02-Apr-20;2;146,84
SAMSUNG;TEL-SAM-A710-REPL;TELA;05-Mar-20;0;100,56
SAMSUNG;TEL-SAM-A720-ORIG;TELA;01-Feb-20;7;122,52
SAMSUNG;TEL-SAM-A720-REPL;TELA;08-Apr-20;2;95
SAMSUNG;TEL-SAM-A750-ORIG;TELA;10-Jun-20;3;267,89
SAMSUNG;TEL-SAM-A750-REPL;TELA;15-Jun-20;3;140
SAMSUNG;TEL-SAM-A8-ORIG;TELA;16-Jun-20;2;270
SAMSUNG;TEL-SAM-A8-REPL;TELA;01-May-20;3;217,14
SAMSUNG;TEL-SAM-A8-PLUS-ORIG;TELA;03-Oct-19;1;300
SAMSUNG;TEL-SAM-A8-PLUS-REPL;TELA;15-May-18;0;382,86
SAMSUNG;TEL-SAM-A80-ORIG;TELA;10-Jan-20;0;467,5
SAMSUNG;TEL-SAM-A80-REPL;TELA;30-Apr-20;0;406,68
SAMSUNG;TEL-SAM-A910-ORIG;TELA;18-Jun-20;0;320,01
SAMSUNG;TEL-SAM-A910-REPL;TELA;16-May-20;0;233,34
SAMSUNG;TEL-SAM-E5-ORIG;TELA;01-Nov-19;2;146,67
SAMSUNG;TEL-SAM-E5-REPL;TELA;06-Apr-19;1;60
SAMSUNG;TEL-SAM-E7-ORIG;TELA;08-Sep-18;0;180
SAMSUNG;TEL-SAM-E7-REPL;TELA;14-Oct-18;1;70
SAMSUNG;TEL-SAM-J110-ORIG;TELA;05-Jun-20;2;145
SAMSUNG;TEL-SAM-J110-REPL;TELA;04-May-20;24;53,75
SAMSUNG;TEL-SAM-J120-ORIG;TELA;09-Jun-20;0;130
SAMSUNG;TEL-SAM-J120-REPL;TELA;02-Feb-20;3;41,69
SAMSUNG;TEL-SAM-J2-ORIG;TELA;10-Oct-19;7;100
SAMSUNG;TEL-SAM-J2-REPL;TELA;01-Jul-19;23;44,21
