CODIGO;DATA;CLIENTE
TEL-SAM-J6-REPL;01-Oct-19;Cliente11109274734
TEL-SAM-J7-ORIG;01-Oct-19;Cliente1119037535
TEL-SAM-J7-REPL;01-Oct-19;Cliente11271475966
TEL-SAM-J7-REPL;01-Oct-19;Cliente11352576582
TEL-SAM-J7-PRIME2-REPL;01-Oct-19;Cliente11433677198
TEL-SAM-J7-PRO-REPL;01-Oct-19;Cliente11514777814
TEL-SAM-J7-PRO-REPL;01-Oct-19;Cliente1159587843
TEL-SAM-J701-ORIG;01-Oct-19;Cliente11676979046
TEL-SAM-J701-REPL;01-Oct-19;Cliente1175879662
TEL-SAM-J701-REPL;01-Oct-19;Cliente11839180278
TEL-SAM-J710-ORIG;01-Oct-19;Cliente11920280894
TEL-SAM-J710-REPL;01-Oct-19;Cliente1200138151
TEL-XIA-A1-ORIG;01-Oct-19;Cliente12082482126
TEL-XIA-A2-ORIG;01-Oct-19;Cliente12163582742
TEL-XIA-A2-LITE-ORIG;01-Oct-19;Cliente12244683358
TEL-XIA-MI-6-PRO-ORIG;01-Oct-19;Cliente12325783974
TEL-XIA-MI-S2-ORIG;01-Oct-19;Cliente1240688459
TEL-XIA-NOTE-7-ORIG;01-Oct-19;Cliente12487985206
TEL-ASU-ZD553KL-ORIG;01-Oct-19;Cliente1256985822
TEL-ASU-ZD553KL-ORIG;01-Oct-19;Cliente12650186438
TEL-IPH-6-PLUS-REPL;01-Oct-19;Cliente12731287054
TEL-IPH-6S-REPL;01-Oct-19;Cliente1281238767
TEL-IPH-6S-REPL;01-Oct-19;Cliente12893488286
TEL-IPH-7G-REPL;01-Oct-19;Cliente12974588902
TEL-LG-G3-ORIG;01-Oct-19;Cliente13055689518
TEL-LG-K10-2017-ORIG;01-Oct-19;Cliente13136790134
TEL-LG-K10-2017-ORIG;01-Oct-19;Cliente1321789075
TEL-MOT-E4-ORIG;01-Oct-19;Cliente13298991366
TEL-MOT-G5-PLUS-ORIG;01-Oct-19;Cliente1338091982
TEL-MOT-G5-S-ORIG;01-Oct-19;Cliente13461192598
TEL-MOT-G5-S-PLUS-ORIG;01-Oct-19;Cliente13542293214
TEL-MOT-G6-PLAY-ORIG;01-Oct-19;Cliente1362339383
TEL-MOT-X-PLAY-ORIG;01-Oct-19;Cliente13704494446
TEL-MOT-Z-PLAY-ORIG;01-Oct-19;Cliente13785595062
TEL-SAM-A20-ORIG;01-Oct-19;Cliente13866695678
TEL-SAM-E7-REPL;01-Oct-19;Cliente13947796294
TEL-SAM-J120-REPL;01-Oct-19;Cliente1402889691
TEL-SAM-J4-REPL;01-Oct-19;Cliente14109997526
TEL-SAM-J5-REPL;01-Oct-19;Cliente1419198142
TEL-SAM-J5-REPL;01-Oct-19;Cliente14272198758
TEL-SAM-J5-PRIME-REPL;01-Oct-19;Cliente14353299374
TEL-SAM-J5-PRIME-REPL;01-Oct-19;Cliente1443439999
TEL-SAM-J5-PRO-ORIG;01-Oct-19;Cliente145154100606
TEL-SAM-J6-REPL;01-Oct-19;Cliente145965101222
TEL-SAM-J6-REPL;01-Oct-19;Cliente146776101838
TEL-SAM-J7-REPL;01-Oct-19;Cliente147587102454
TEL-SAM-J7-REPL;01-Oct-19;Cliente14839810307
TEL-SAM-J7-PRIME-REPL;01-Oct-19;Cliente149209103686
TEL-SAM-J7-PRIME-REPL;01-Oct-19;Cliente15002104302
TEL-SAM-J7-PRO-ORIG;01-Oct-19;Cliente150831104918
TEL-SAM-J7-PRO-REPL;01-Oct-19;Cliente151642105534
TEL-SAM-J701-REPL;01-Oct-19;Cliente15245310615
TEL-XIA-MI-4X-ORIG;02-Oct-19;Cliente153264106766
TEL-IPH-6-PLUS-REPL;02-Oct-19;Cliente154075107382
TEL-IPH-6G-REPL;02-Oct-19;Cliente154886107998
TEL-IPH-6S-REPL;02-Oct-19;Cliente155697108614
TEL-IPH-6S-REPL;02-Oct-19;Cliente15650810923
TEL-IPH-7-PLUS-REPL;02-Oct-19;Cliente157319109846
TEL-IPH-7G-REPL;02-Oct-19;Cliente15813110462
TEL-IPH-8G-REPL;02-Oct-19;Cliente158941111078
TEL-LG-K10-STV-ORIG;02-Oct-19;Cliente159752111694
TEL-MOT-G2-ORIG;02-Oct-19;Cliente16056311231
TEL-MOT-G4-PLAY-ORIG;02-Oct-19;Cliente161374112926
TEL-MOT-G5-S-ORIG;02-Oct-19;Cliente162185113542
TEL-MOT-G5-S-ORIG;02-Oct-19;Cliente162996114158
TEL-MOT-G6-PLAY-ORIG;02-Oct-19;Cliente163807114774
TEL-MOT-ONE-ORIG;02-Oct-19;Cliente16461811539
TEL-MOT-ONE-ORIG;02-Oct-19;Cliente165429116006
TEL-MOT-Z-PLAY-ORIG;02-Oct-19;Cliente16624116622
TEL-MOT-Z2-PLAY-ORIG;02-Oct-19;Cliente167051117238
TEL-MOT-Z2-PLAY-ORIG;02-Oct-19;Cliente167862117854
TEL-MOT-Z3-PLAY-ORIG;02-Oct-19;Cliente16867311847
TEL-SAM-A10-ORIG;02-Oct-19;Cliente169484119086
TEL-SAM-E7-REPL;02-Oct-19;Cliente170295119702
TEL-SAM-J120-REPL;02-Oct-19;Cliente171106120318
TEL-SAM-J120-REPL;02-Oct-19;Cliente171917120934
TEL-SAM-J120-REPL;02-Oct-19;Cliente17272812155
TEL-SAM-J120-REPL;02-Oct-19;Cliente173539122166
TEL-SAM-J120-REPL;02-Oct-19;Cliente17435122782
TEL-SAM-J2-REPL;02-Oct-19;Cliente175161123398
TEL-SAM-J3-REPL;02-Oct-19;Cliente175972124014
TEL-SAM-J4-REPL;02-Oct-19;Cliente17678312463
TEL-SAM-J4-REPL;02-Oct-19;Cliente177594125246
TEL-SAM-J5-REPL;02-Oct-19;Cliente178405125862
TEL-SAM-J5-PRIME-REPL;02-Oct-19;Cliente179216126478
TEL-SAM-J5-PRIME-REPL;02-Oct-19;Cliente180027127094
TEL-SAM-J5-PRIME-REPL;02-Oct-19;Cliente18083812771
TEL-SAM-J5-PRO-ORIG;02-Oct-19;Cliente181649128326
TEL-SAM-J510-REPL;02-Oct-19;Cliente18246128942
TEL-SAM-J7-REPL;02-Oct-19;Cliente183271129558
TEL-SAM-J7-REPL;02-Oct-19;Cliente184082130174
TEL-SAM-J7-REPL;02-Oct-19;Cliente18489313079
TEL-SAM-J7-PRO-ORIG;02-Oct-19;Cliente185704131406
TEL-SAM-J7-PRO-REPL;02-Oct-19;Cliente186515132022
TEL-SAM-J701-REPL;02-Oct-19;Cliente187326132638
TEL-SAM-J701-REPL;02-Oct-19;Cliente188137133254
TEL-SAM-J710-REPL;02-Oct-19;Cliente18894813387
TEL-ASU-ZE620KL-ORIG;03-Oct-19;Cliente189759134486
TEL-IPH-5S-REPL;03-Oct-19;Cliente19057135102
TEL-IPH-6-PLUS-REPL;03-Oct-19;Cliente191381135718
TEL-IPH-6S-REPL;03-Oct-19;Cliente192192136334
TEL-IPH-7G-REPL;03-Oct-19;Cliente19300313695
TEL-LG-G5-ORIG;03-Oct-19;Cliente193814137566
TEL-MOT-G4-PLUS-ORIG;03-Oct-19;Cliente194625138182
TEL-MOT-Z-PLAY-ORIG;03-Oct-19;Cliente195436138798
TEL-MOT-Z3-PLAY-ORIG;03-Oct-19;Cliente196247139414
TEL-SAM-J120-REPL;03-Oct-19;Cliente19705814003
TEL-SAM-J3-REPL;03-Oct-19;Cliente197869140646
TEL-SAM-J6-REPL;03-Oct-19;Cliente19868141262
TEL-SAM-J7-REPL;03-Oct-19;Cliente199491141878
TEL-SAM-J7-PRIME-REPL;03-Oct-19;Cliente200302142494
TEL-SAM-J710-REPL;03-Oct-19;Cliente20111314311
TEL-SAM-J720-ORIG;03-Oct-19;Cliente201924143726
TEL-SAM-J8-ORIG;03-Oct-19;Cliente202735144342
TEL-SAM-J8-REPL;03-Oct-19;Cliente203546144958
TEL-XIA-NOTE-6-PRO-ORIG;03-Oct-19;Cliente185954
TEL-ASU-ZC520TL-ORIG;03-Oct-19;Cliente526235
TEL-ASU-ZE520KL-ORIG;03-Oct-19;Cliente358874
TEL-IPH-4S-REPL;03-Oct-19;Cliente195925
TEL-IPH-5C-REPL;03-Oct-19;Cliente756301
TEL-IPH-5S-REPL;03-Oct-19;Cliente6473473
TEL-IPH-6G-REPL;03-Oct-19;Cliente72844114
TEL-IPH-7-PLUS-REPL;03-Oct-19;Cliente80953498
TEL-IPH-X-REPL;03-Oct-19;Cliente89062882
TEL-LG-K10-2017-ORIG;03-Oct-19;Cliente97172266
TEL-LG-K10-2017-ORIG;03-Oct-19;Cliente10528165
TEL-LG-K220-ORIG;03-Oct-19;Cliente185954
TEL-MOT-E4-PLUS-ORIG;03-Oct-19;Cliente526235
TEL-MOT-G4-PLAY-ORIG;03-Oct-19;Cliente358874
TEL-MOT-G5-S-ORIG;03-Oct-19;Cliente195925
TEL-MOT-G5-S-ORIG;03-Oct-19;Cliente756301
TEL-MOT-G5-S-PLUS-ORIG;03-Oct-19;Cliente6473473
TEL-MOT-G6-PLAY-ORIG;03-Oct-19;Cliente72844114
TEL-MOT-G6-PLAY-ORIG;03-Oct-19;Cliente80953498
TEL-MOT-G6-PLUS-ORIG;03-Oct-19;Cliente89062882
TEL-MOT-Z3-PLAY-ORIG;03-Oct-19;Cliente97172266
TEL-SAM-A310-REPL;03-Oct-19;Cliente10528165
TEL-SAM-A50-ORIG;03-Oct-19;Cliente113391034
TEL-SAM-J120-REPL;03-Oct-19;Cliente121577
TEL-SAM-J5-REPL;03-Oct-19;Cliente12961693
TEL-SAM-J5-REPL;03-Oct-19;Cliente137721309
TEL-SAM-J5-REPL;03-Oct-19;Cliente14583143
TEL-SAM-J5-REPL;03-Oct-19;Cliente153942046
TEL-SAM-J5-REPL;03-Oct-19;Cliente162052662
TEL-SAM-J5-PRIME-REPL;03-Oct-19;Cliente170163278
TEL-SAM-J5-PRO-ORIG;03-Oct-19;Cliente178273894
TEL-SAM-J5-PRO-ORIG;03-Oct-19;Cliente18638451
TEL-SAM-J6-REPL;03-Oct-19;Cliente194495126
TEL-SAM-J6-REPL;03-Oct-19;Cliente20265742
TEL-SAM-J6-REPL;03-Oct-19;Cliente210716358
TEL-SAM-J7-PRO-ORIG;03-Oct-19;Cliente218826974
TEL-SAM-J7-PRO-ORIG;03-Oct-19;Cliente22693759
TEL-SAM-J7-PRO-ORIG;03-Oct-19;Cliente235048206
TEL-SAM-J7-PRO-REPL;03-Oct-19;Cliente243158822
TEL-SAM-J710-REPL;03-Oct-19;Cliente251269438
TEL-SAM-J8-REPL;03-Oct-19;Cliente2593710054
TEL-XIA-MI-F1-ORIG;03-Oct-19;Cliente267481067
TEL-IPH-6G-REPL;04-Oct-19;Cliente2755911286
TEL-IPH-6S-REPL;04-Oct-19;Cliente283711902
TEL-IPH-X-REPL;04-Oct-19;Cliente2918112518
TEL-MOT-G4-PLAY-ORIG;04-Oct-19;Cliente2999213134
TEL-MOT-Z-PLAY-ORIG;04-Oct-19;Cliente308031375
TEL-SAM-A50-ORIG;04-Oct-19;Cliente3161414366
TEL-SAM-J2-PRO-ORIG;04-Oct-19;Cliente3242514982
TEL-SAM-J6-REPL;04-Oct-19;Cliente3323615598
TEL-SAM-J720-ORIG;04-Oct-19;Cliente3404716214
TEL-ASU-ZC553KL-ORIG;04-Oct-19;Cliente348581683
TEL-ASU-ZC554KL-ORIG;04-Oct-19;Cliente3566917446
TEL-ASU-ZE601KL-ORIG;04-Oct-19;Cliente364818062
TEL-IPH-5C-REPL;04-Oct-19;Cliente3729118678
TEL-IPH-5S-REPL;04-Oct-19;Cliente3810219294
TEL-IPH-5S-REPL;04-Oct-19;Cliente389131991
TEL-IPH-6-PLUS-REPL;04-Oct-19;Cliente3972420526
TEL-IPH-6S-REPL;04-Oct-19;Cliente4053521142
TEL-IPH-6S-REPL;04-Oct-19;Cliente4134621758
TEL-IPH-6S-PLUS-REPL;04-Oct-19;Cliente4215722374
TEL-IPH-7G-REPL;04-Oct-19;Cliente429682299
TEL-IPH-8G-REPL;04-Oct-19;Cliente4377923606
TEL-IPH-X-REPL;04-Oct-19;Cliente445924222
TEL-IPH-X-REPL;04-Oct-19;Cliente4540124838
TEL-LG-K10-POWER-ORIG;04-Oct-19;Cliente4621225454
TEL-LG-K8-2017-ORIG;04-Oct-19;Cliente470232607
TEL-MOT-E2-ORIG;04-Oct-19;Cliente4783426686
TEL-MOT-G3-ORIG;04-Oct-19;Cliente4864527302
TEL-MOT-G3-ORIG;04-Oct-19;Cliente4945627918
TEL-MOT-G3-ORIG;04-Oct-19;Cliente5026728534
TEL-MOT-G4-PLAY-ORIG;04-Oct-19;Cliente510782915
TEL-MOT-G4-PLAY-ORIG;04-Oct-19;Cliente5188929766
TEL-MOT-G5-ORIG;04-Oct-19;Cliente527030382
TEL-MOT-G5-PLUS-ORIG;04-Oct-19;Cliente5351130998
TEL-MOT-G5-S-ORIG;04-Oct-19;Cliente5432231614
TEL-MOT-G6-PLAY-ORIG;04-Oct-19;Cliente551333223
TEL-MOT-ONE-ORIG;04-Oct-19;Cliente5594432846
TEL-MOT-Z-PLAY-ORIG;04-Oct-19;Cliente5675533462
TEL-MOT-Z2-PLAY-ORIG;04-Oct-19;Cliente5756634078
TEL-MOT-Z2-PLAY-ORIG;04-Oct-19;Cliente5837734694
TEL-MOT-Z2-PLAY-ORIG;04-Oct-19;Cliente591883531
TEL-SAM-A310-REPL;04-Oct-19;Cliente5999935926
TEL-SAM-J120-REPL;04-Oct-19;Cliente608136542
TEL-SAM-J4-REPL;04-Oct-19;Cliente6162137158
TEL-SAM-J4-PLUS-REPL;04-Oct-19;Cliente6243237774
TEL-SAM-J5-REPL;04-Oct-19;Cliente632433839
TEL-SAM-J5-REPL;04-Oct-19;Cliente6405439006
TEL-SAM-J5-PRO-ORIG;04-Oct-19;Cliente6486539622
TEL-SAM-J6-REPL;04-Oct-19;Cliente6567640238
TEL-SAM-J7-ORIG;04-Oct-19;Cliente6648740854
TEL-SAM-J7-PRIME-REPL;04-Oct-19;Cliente672984147
TEL-XIA-A2-ORIG;04-Oct-19;Cliente6810942086
TEL-ASU-ZB501KL-ORIG;05-Oct-19;Cliente689242702
TEL-ASU-ZE520KL-ORIG;05-Oct-19;Cliente6973143318
TEL-ASU-ZE551ML-ORIG;05-Oct-19;Cliente7054243934
TEL-ASU-ZE553KL-ORIG;05-Oct-19;Cliente713534455
TEL-IPH-5S-REPL;05-Oct-19;Cliente7216445166
TEL-IPH-5S-REPL;05-Oct-19;Cliente7297545782
TEL-IPH-6G-REPL;05-Oct-19;Cliente7378646398
TEL-IPH-6G-REPL;05-Oct-19;Cliente7459747014
TEL-IPH-6G-REPL;05-Oct-19;Cliente754084763
TEL-IPH-6S-REPL;05-Oct-19;Cliente7621948246
TEL-IPH-6S-REPL;05-Oct-19;Cliente770348862
TEL-IPH-6S-REPL;05-Oct-19;Cliente7784149478
TEL-IPH-6S-PLUS-REPL;05-Oct-19;Cliente7865250094
TEL-IPH-7-PLUS-REPL;05-Oct-19;Cliente794635071
TEL-IPH-7G-ORIG;05-Oct-19;Cliente8027451326
TEL-LEN-K6-ORIG;05-Oct-19;Cliente8108551942
TEL-LG-K10-POWER-ORIG;05-Oct-19;Cliente8189652558
TEL-LG-K10-POWER-ORIG;05-Oct-19;Cliente8270753174
TEL-LG-K10-STV-ORIG;05-Oct-19;Cliente835185379
TEL-LG-K10-TV-ORIG;05-Oct-19;Cliente8432954406
TEL-LG-K200-ORIG;05-Oct-19;Cliente851455022
TEL-LG-K200-ORIG;05-Oct-19;Cliente8595155638
TEL-MOT-C-PLUS-ORIG;05-Oct-19;Cliente8676256254
TEL-MOT-G1-ORIG;05-Oct-19;Cliente875735687
TEL-MOT-G3-ORIG;05-Oct-19;Cliente8838457486
TEL-MOT-G3-ORIG;05-Oct-19;Cliente8919558102
TEL-MOT-G4-PLUS-ORIG;05-Oct-19;Cliente9000658718
TEL-MOT-G5-S-ORIG;05-Oct-19;Cliente9081759334
TEL-MOT-G5-S-ORIG;05-Oct-19;Cliente916285995
TEL-MOT-G5-S-ORIG;05-Oct-19;Cliente9243960566
TEL-MOT-G6-PLAY-ORIG;05-Oct-19;Cliente932561182
TEL-MOT-G6-PLAY-ORIG;05-Oct-19;Cliente9406161798
TEL-SAM-A20-ORIG;05-Oct-19;Cliente9487262414
TEL-SAM-A50-ORIG;05-Oct-19;Cliente956836303
TEL-SAM-A6-PLUS-ORIG;05-Oct-19;Cliente9649463646
TEL-SAM-J120-REPL;05-Oct-19;Cliente9730564262
TEL-SAM-J120-REPL;05-Oct-19;Cliente9811664878
TEL-SAM-J120-REPL;05-Oct-19;Cliente9892765494
TEL-SAM-J120-REPL;05-Oct-19;Cliente997386611
TEL-SAM-J120-REPL;05-Oct-19;Cliente10054966726
TEL-SAM-J3-REPL;05-Oct-19;Cliente1013667342
TEL-SAM-J3-REPL;05-Oct-19;Cliente10217167958
TEL-SAM-J5-REPL;05-Oct-19;Cliente10298268574
TEL-SAM-J5-REPL;05-Oct-19;Cliente1037936919
TEL-SAM-J5-REPL;05-Oct-19;Cliente10460469806
TEL-SAM-J5-PRO-REPL;05-Oct-19;Cliente10541570422
TEL-SAM-J5-PRO-REPL;05-Oct-19;Cliente10622671038
TEL-SAM-J5-PRO-REPL;05-Oct-19;Cliente10703771654
TEL-SAM-J5-PRO-REPL;05-Oct-19;Cliente1078487227
TEL-SAM-J510-REPL;05-Oct-19;Cliente10865972886
TEL-SAM-J6-REPL;05-Oct-19;Cliente1094773502
TEL-SAM-J7-PRIME-REPL;05-Oct-19;Cliente11028174118
TEL-SAM-J7-PRIME-REPL;05-Oct-19;Cliente11109274734
TEL-SAM-J7-PRIME2-ORIG;05-Oct-19;Cliente1119037535
TEL-SAM-J701-ORIG;05-Oct-19;Cliente11271475966
TEL-SAM-J701-REPL;05-Oct-19;Cliente11352576582
TEL-SAM-J710-REPL;05-Oct-19;Cliente11433677198
TEL-SAM-J8-REPL;05-Oct-19;Cliente11514777814
TEL-XIA-MI-6-ORIG;05-Oct-19;Cliente1159587843
TEL-XIA-MI-6-PRO-ORIG;05-Oct-19;Cliente11676979046
TEL-XIA-NOTE-5/5-PRO-ORIG;05-Oct-19;Cliente1175879662
TEL-XIA-NOTE-5/5-PRO-ORIG;05-Oct-19;Cliente11839180278
TEL-ASU-ZC553KL-ORIG;07-Oct-19;Cliente11920280894
TEL-ASU-ZC600KL-ORIG;07-Oct-19;Cliente1200138151
TEL-ASU-ZE553KL-ORIG;07-Oct-19;Cliente12082482126
TEL-ASU-ZE601KL-ORIG;07-Oct-19;Cliente12163582742
TEL-IPH-5S-REPL;07-Oct-19;Cliente12244683358
TEL-IPH-7-PLUS-REPL;07-Oct-19;Cliente12325783974
TEL-IPH-7G-REPL;07-Oct-19;Cliente1240688459
TEL-IPH-8G-REPL;07-Oct-19;Cliente12487985206
TEL-LG-K200-ORIG;07-Oct-19;Cliente1256985822
TEL-LG-K4-2017-ORIG;07-Oct-19;Cliente12650186438
